Product_ID,Product_Name,Brand,Category,Stock_Quantity,Cost_Price,Selling_Price,Rating,Supplier,Last_Restocked,Profit_Margin_Pct,Stock_Status
PROD-2000,Dark Basic,Young-Mitchell,Clothing,302,376.65,722.52,4.1,"Lyons, Guerrero and Lowery",1900-01-01,47.87,High
PROD-2001,Certain Elite,Bailey,Clothing,52,275.14,622.32,3.7,"Levy, Miller and Garcia",2026-02-18,55.79,Medium
PROD-2002,Section Elite,Kaufman,Furniture,73,235.62,281.47,4.1,"Jones, Rodriguez and Rodriguez",2025-12-09,16.29,Medium
PROD-2003,Trade Basic,Berry-Orr,Sports,45,322.02,367.53,2.2,Bridges LLC,2025-10-31,12.38,Low
PROD-2004,Cover Elite,Coleman,Electronics,12,904.04,1922.01,3.0,Anderson-Bradley,2026-03-04,52.96,Low
PROD-2005,Run Pro,Heath,Sports,164,82.25,117.16,4.2,Russell-Edwards,2026-01-10,29.8,Medium
PROD-2006,War Plus,"Krueger,",Food & Beverage,101,829.73,1685.48,1.9,Terry-Moore,2025-09-05,50.77,Medium
PROD-2007,Message Pro,Faulkner,Electronics,279,352.15,633.59,1.9,Smith Inc,2025-07-10,44.42,High
PROD-2008,Somebody Basic,"Scott,",Furniture,0,523.99,1074.73,3.2,Davis-Grimes,2026-01-30,51.24,Out of Stock
PROD-2009,Story Lite,"Sutton,",Food & Beverage,469,795.51,1235.52,3.1,"Evans, Medina and Franklin",2025-11-25,35.61,High
PROD-2010,See Elite,"Harris,",Food & Beverage,336,884.95,1260.3,2.1,Andrews-Jackson,2025-08-31,29.78,High
PROD-2011,Chance Pro,"Evans,",Clothing,355,348.06,758.92,2.2,Li Group,2025-11-28,54.14,High
PROD-2012,Strong Elite,Lee-Thomas,Electronics,397,464.53,1107.52,2.1,Wagner-Fernandez,2025-08-22,58.06,High
PROD-2013,Dinner Plus,Brown-Edwards,Clothing,137,417.44,924.15,4.1,"Washington, Nash and Mills",2025-09-26,54.83,Medium
PROD-2014,Involve Elite,Reyes-Klein,Electronics,162,18.18,22.68,3.6,Andersen-Gregory,2025-11-05,19.84,Medium
PROD-2015,Purpose Basic,"Martin,",Food & Beverage,408,299.46,698.66,4.3,Thompson-Leonard,2025-10-24,57.14,High
PROD-2016,Ok Elite,"Holmes,",Furniture,386,461.89,978.94,4.9,Howard Group,2025-07-25,52.82,High
PROD-2017,Scientist Max,Meadows,Furniture,110,414.04,678.08,2.9,"Knight, Turner and Oneal",2026-03-30,38.94,Medium
PROD-2018,Bar Lite,Collier,Clothing,101,723.32,1781.28,1.3,Greene-Brown,2025-09-04,59.39,Medium
PROD-2019,Heavy Elite,Baker,Electronics,16,387.88,927.55,1.2,Craig PLC,2026-03-31,58.18,Low
PROD-2020,Same Elite,"Pollard,",Clothing,267,491.93,583.77,2.2,Baker-Miller,2025-09-02,15.73,High
PROD-2021,Memory Basic,"Green,",Electronics,181,432.46,627.36,4.7,Hernandez LLC,2026-01-09,31.07,Medium
PROD-2022,Knowledge Elite,Craig,Furniture,371,741.92,1340.67,3.1,Davis LLC,2025-10-03,44.66,High
PROD-2023,Prevent Basic,"Blackwell,",Food & Beverage,23,863.66,1856.79,2.1,Gomez-Parker,2025-09-16,53.49,Low
PROD-2024,Program Pro,Lee,Electronics,28,534.23,917.88,2.6,Henry Inc,2025-11-17,41.8,Low
PROD-2025,Put Basic,Phelps,Furniture,170,790.49,1283.8,3.4,Jones-Dawson,2026-05-27,38.43,Medium
PROD-2026,Lot Plus,Cohen,Food & Beverage,408,300.3,595.74,3.6,"Thompson, Kelly and Dominguez",2025-09-30,49.59,High
PROD-2027,Consumer Lite,"Fields,",Food & Beverage,227,543.66,620.45,1.6,Schmidt-Mitchell,2026-01-30,12.38,High
PROD-2028,Seat Elite,Martin-Meyer,Sports,377,348.5,468.28,4.9,Moore Inc,2025-06-25,25.58,High
PROD-2029,Away Basic,Terry,Clothing,187,417.13,521.72,3.0,Carson-Hale,2026-03-31,20.05,Medium
PROD-2030,Treatment Lite,Cordova,Furniture,345,733.75,1268.88,1.5,"Davis, Lyons and James",2025-07-15,42.17,High
PROD-2031,Prepare Lite,Perkins-Bernard,Clothing,229,882.25,1135.02,4.6,Haley-Skinner,2025-09-02,22.27,High
PROD-2032,Which Pro,Williams-Strong,Electronics,0,125.89,250.82,1.3,Stuart LLC,2026-01-04,49.81,Out of Stock
PROD-2033,Send Max,"Ford,",Electronics,339,636.47,1195.96,4.6,"Warner, Walker and Cantu",2025-07-25,46.78,High
PROD-2034,Attention Lite,Washington-Blackwell,Food & Beverage,0,584.23,802.74,5.0,Daugherty-Rojas,2025-08-31,27.22,Out of Stock
PROD-2035,Management Basic,Cox,Furniture,155,122.82,219.55,3.8,Holt and Sons,2025-11-11,44.06,Medium
PROD-2036,Notice Max,Tran-Martin,Furniture,271,215.83,442.54,4.1,Huber-Stewart,2026-05-02,51.23,High
PROD-2037,Environment Pro,"Hernandez,",Clothing,174,314.45,445.17,2.3,"Cole, Barnes and Hendricks",2025-11-11,29.36,Medium
PROD-2038,Charge Plus,"Thompson,",Clothing,464,171.1,365.99,4.8,Jones-Becker,2025-10-24,53.25,High
PROD-2039,Face Plus,Jordan-Stewart,Furniture,103,247.51,422.67,3.1,Sanchez LLC,2025-06-17,41.44,Medium
PROD-2040,If Plus,Levine,Food & Beverage,91,271.26,499.1,3.9,"Saunders, Lee and Horton",2025-07-02,45.65,Medium
PROD-2041,Good Lite,Sullivan-Rodriguez,Food & Beverage,185,339.0,747.84,3.0,Logan Ltd,2026-02-10,54.67,Medium
PROD-2042,Industry Max,Dixon,Food & Beverage,459,750.64,916.1,4.9,"Miller, Johnson and Brown",2026-05-24,18.06,High
PROD-2043,Full Pro,Chavez-Lara,Sports,282,574.05,650.94,4.3,"House, Smith and Elliott",2025-11-17,11.81,High
