Order_ID,Order_Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Region,Order_Status,Sales_Channel,Order_Month,Order_Year,Order_Quarter
ORD-1000,2025-03-18,CUST-427,Crime Max,Sports,39,1845.77,71985.03,East,Returned,Mobile App,3,2025,2025Q1
ORD-1001,2025-07-31,CUST-157,Travel Basic,Electronics,29,1417.4,41104.6,North,Pending,Online,7,2025,2025Q3
ORD-1002,2026-03-13,CUST-112,Win Plus,Food & Beverage,15,313.55,4703.25,West,Delivered,Phone,3,2026,2026Q1
ORD-1003,2025-12-04,CUST-479,Tough Plus,Food & Beverage,43,1156.81,49742.83,Central,Pending,In-Store,12,2025,2025Q4
ORD-1004,2024-09-09,CUST-240,Ago Pro,Sports,8,1217.36,9738.88,East,Cancelled,Online,9,2024,2024Q3
ORD-1006,2026-02-06,CUST-214,Civil Max,Electronics,39,1475.52,57545.28,Central,Delivered,Phone,2,2026,2026Q1
ORD-1007,2024-06-22,CUST-171,Than Basic,Food & Beverage,19,1869.39,35518.41,West,Shipped,In-Store,6,2024,2024Q2
ORD-1008,2024-12-15,CUST-477,Might Lite,Sports,23,1037.7849999999999,23869.05,East,Pending,Phone,12,2024,2024Q4
ORD-1009,2026-01-30,CUST-152,Again Max,Clothing,11,907.17,9978.87,Central,Returned,Online,1,2026,2026Q1
ORD-1010,2025-08-29,CUST-446,Dream Plus,Furniture,11,235.34,2588.74,Central,Delivered,Mobile App,8,2025,2025Q3
ORD-1011,2025-03-16,CUST-479,Probably Plus,Clothing,24,1969.83,47275.92,South,Returned,Online,3,2025,2025Q1
ORD-1012,2025-01-01,CUST-379,Free Pro,Furniture,36,1679.41,60458.76,North,Pending,Phone,1,2025,2025Q1
ORD-1013,2024-11-07,CUST-144,Interest Pro,Electronics,40,258.08,10323.2,Central,Cancelled,Online,11,2024,2024Q4
ORD-1014,2026-05-24,CUST-402,More Basic,Sports,24,1842.48,44219.52,West,Returned,Online,5,2026,2026Q2
ORD-1015,2025-11-25,CUST-316,Sign Lite,Electronics,3,1741.09,5223.27,South,Returned,Mobile App,11,2025,2025Q4
ORD-1016,2024-11-02,CUST-116,Compare Lite,Clothing,22,1042.49,22934.78,Central,Pending,Mobile App,11,2024,2024Q4
ORD-1017,2024-12-20,CUST-115,Particularly Max,Sports,2,1186.64,2373.28,Central,Delivered,Phone,12,2024,2024Q4
ORD-1018,2024-06-20,CUST-147,Citizen Basic,Electronics,24,804.02,19296.48,West,Pending,Phone,6,2024,2024Q2
ORD-1019,2025-01-19,CUST-211,Offer Pro,Electronics,44,118.98,5235.12,South,Returned,Online,1,2025,2025Q1
ORD-1020,2026-05-30,CUST-219,Before Basic,Electronics,30,677.04,20311.2,South,Shipped,In-Store,5,2026,2026Q2
ORD-1021,2025-04-13,CUST-358,Young Plus,Clothing,38,1607.68,61091.84,North,Shipped,Online,4,2025,2025Q2
ORD-1022,2025-02-10,CUST-408,Operation Pro,Electronics,2,19.22,38.44,Central,Returned,Phone,2,2025,2025Q1
ORD-1023,2026-05-30,CUST-113,Game Lite,Food & Beverage,21,673.66,14146.86,North,Delivered,Online,5,2026,2026Q2
ORD-1024,2024-11-10,CUST-387,Allow Pro,Furniture,33,802.36,26477.88,South,Pending,Mobile App,11,2024,2024Q4
ORD-1025,2025-06-29,CUST-201,Bar Plus,Food & Beverage,12,1079.42,12953.04,North,Shipped,Online,6,2025,2025Q2
ORD-1026,2025-09-17,CUST-466,Much Pro,Clothing,22,1840.51,40491.22,West,Cancelled,Mobile App,9,2025,2025Q3
ORD-1027,2026-01-24,CUST-432,Recent Lite,Clothing,44,699.23,30766.12,East,Returned,In-Store,1,2026,2026Q1
ORD-1028,2025-08-27,CUST-459,Sea Plus,Electronics,25,700.44,17511.0,West,Returned,Mobile App,8,2025,2025Q3
ORD-1029,2025-04-22,CUST-379,Prepare Max,Sports,49,1477.63,72403.87,South,Cancelled,In-Store,4,2025,2025Q2
ORD-1030,2024-06-25,CUST-314,Both Basic,Food & Beverage,27,909.91,24567.57,West,Delivered,In-Store,6,2024,2024Q2
ORD-1031,2026-02-04,CUST-212,Page Max,Clothing,42,456.96,19192.32,South,Pending,Online,2,2026,2026Q1
ORD-1032,2024-10-09,CUST-329,Reveal Plus,Furniture,28,910.35,25489.8,West,Shipped,Phone,10,2024,2024Q4
ORD-1033,2025-12-16,CUST-401,Idea Plus,Clothing,16,290.31,4644.96,Central,Shipped,Phone,12,2025,2025Q4
ORD-1034,2025-01-08,CUST-242,Military Plus,Food & Beverage,15,361.01,5415.15,Central,Pending,Online,1,2025,2025Q1
ORD-1035,2025-08-12,CUST-103,Exactly Lite,Furniture,47,1001.75,47082.25,West,Pending,In-Store,8,2025,2025Q3
ORD-1036,2024-10-31,CUST-488,Indeed Plus,Furniture,44,843.66,37121.04,North,Pending,Phone,10,2024,2024Q4
ORD-1037,2025-03-25,CUST-181,Sell Basic,Electronics,3,1830.54,5491.62,South,Pending,Mobile App,3,2025,2025Q1
ORD-1038,2026-04-05,CUST-457,Week Lite,Sports,37,731.16,27052.92,Central,Shipped,Phone,4,2026,2026Q2
ORD-1039,2025-12-13,CUST-316,Ask Plus,Furniture,7,1165.37,8157.59,South,Returned,In-Store,12,2025,2025Q4
ORD-1040,2025-10-04,CUST-274,Practice Lite,Electronics,21,1268.21,26632.41,Central,Returned,In-Store,10,2025,2025Q4
ORD-1041,2025-04-22,CUST-242,Available Basic,Sports,9,36.06,324.54,East,Cancelled,Mobile App,4,2025,2025Q2
ORD-1042,2026-01-11,CUST-179,Same Basic,Electronics,39,1330.44,51887.16,West,Returned,Online,1,2026,2026Q1
ORD-1044,2026-05-22,CUST-490,Nation Pro,Clothing,4,1922.53,7690.12,West,Delivered,Online,5,2026,2026Q2
ORD-1046,2025-10-10,CUST-152,Rather Plus,Electronics,14,835.1,11691.4,South,Shipped,Mobile App,10,2025,2025Q4
ORD-1047,2025-02-26,CUST-147,Base Max,Food & Beverage,9,179.85,1618.65,West,Shipped,Online,2,2025,2025Q1
ORD-1048,2025-05-18,CUST-294,Adult Basic,Electronics,26,1993.78,51838.28,Central,Returned,Phone,5,2025,2025Q2
ORD-1049,2025-04-27,CUST-149,Back Max,Food & Beverage,2,1009.37,2018.74,East,Returned,Phone,4,2025,2025Q2
